OBJECTID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,Shape__Area,Shape__Length
1,APIS,Lands - http://landsnet.nps.gov/tractsnet/documents/APIS/Metadata/apis_metadata.xml,Apostle Islands National Lakeshore,2024/10/17 00:00:00+00,WI,MW,1581059,National Lakeshores,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221817,Apostle Islands,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,6acf440e-220e-4979-b316-9125fee1aae8,236,0.0348093038796833,3.72187962103888
2,EFMO,Lands - http://landsnet.nps.gov/tractsnet/documents/EFMO/Metadata/efmo_metadata.xml,Effigy Mounds National Monument,2024/12/16 00:00:00+00,IA,MW,456249,National Monuments,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048392,Effigy Mounds,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,f98239b4-75b2-4852-9656-b2896d54ded2,243,0.00111701467653802,0.333453088325953
3,GUIS,Lands - http://landsnet.nps.gov/tractsnet/documents/GUIS/Metadata/guis_metadata.xml,Gulf Islands National Seashore,2024/12/16 00:00:00+00,MS,SE,689020,National Seashores,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2166436,Gulf Islands,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,4d815f2a-122a-4d10-af54-fefb0fa37db2,193,0.0494909155343066,3.86493166552204
4,HAFE,Lands - http://landsnet.nps.gov/tractsnet/documents/HAFE/Metadata/hafe_metadata.xml,Harpers Ferry National Historical Park,2024/12/18 00:00:00+00,VA,NC,1556735,National Historical Parks,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048163,Harpers Ferry,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,5e2e118d-08a3-4a3a-800b-b4062dca0cd9,105,0.00156429585854312,1.06813020990237
5,HEHO,Lands - http://landsnet.nps.gov/tractsnet/documents/HEHO/Metadata/heho_metadata.xml,Herbert Hoover National Historic Site,2024/12/16 00:00:00+00,IA,MW,457629,National Historic Sites,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188824,Herbert Hoover,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,6f2a18c7-921d-4e7b-ac7b-4525098f287c,257,8.18257231003372e-05,0.0429744436550005
6,INDU,Lands - http://landsnet.nps.gov/tractsnet/documents/INDU/Metadata/indu_metadata.xml,Indiana Dunes National Park,2025/06/12 07:47:45+00,IN,MW,446903,National Parks,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225696,Indiana Dunes,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,f9ab9d87-f90a-496b-bcbb-ec362a500fbf,258,0.00707148584638162,2.19720598574663
7,MNRR,Lands - http://landsnet.nps.gov/tractsnet/documents/MNRR/Metadata/mnrr_metadata.xml,Missouri National Recreational River,2024/12/16 00:00:00+00,SD,MW,2733411,National Wild & Scenic Rivers,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2242151,Missouri,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,834a141c-034b-4e89-9519-8527989d494b,74,0.0304361564758437,5.13287764958427
8,NOCA,Lands - http://landsnet.nps.gov/tractsnet/documents/NOCA/Metadata/noca_metadata.xml,North Cascades National Park,2024/12/17 00:00:00+00,WA,PW,1528421,National Parks,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2235464,North Cascades,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,3da3f869-1485-4099-862f-5e6bfe6091d7,392,0.247926753818774,4.09657704701155
9,OLYM,Lands - https://landsnet.nps.gov/tractsnet/documents/OLYM/Metadata/olym_metadata.xml,Olympic National Park,2024/12/17 00:00:00+00,WA,PW,1530459,National Parks,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2307296,Olympic,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,fc82b0d0-b330-4827-8ea2-cbd94333b86a,395,0.446292813247965,8.77689819702059
10,PINN,Lands - http://landsnet.nps.gov/tractsnet/documents/PINN/Metadata/pinn_metadata.xml,Pinnacles National Park,2024/12/17 00:00:00+00,CA,PW,247533,National Parks,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2208014,Pinnacles,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,ff9dbb7b-1a8b-4399-aafc-e6d858fb9bb0,349,0.0108697461118936,0.767897280197798
